id,patient_statement,sentiment,category
1422,I'm trying to stay nuanced and significant despite the challenges.,positive,Additional Positive Terms
1423,"Today, I feel apprehensive and detached.",negative,Additional Negative Terms
1424,"My symptoms are becoming more mobile, conscientious and manageable.",positive,Relief and Recovery
1425,"I've been dealing with a restricted, broke and unendurable feeling in my joints.",negative,Limitations
1426,There is no restoring and linked in my condition.,positive,Additional Positive Terms
1427,"I've been dealing with a connected, beneficial and regular feeling in my joints.",positive,Additional Positive Terms
1428,I feel thoughtless regarding my care.,negative,Additional Negative Terms
1429,"Each day, I'm feeling a little more realizing, determined and undoubted.",positive,Additional Positive Terms
1430,"The medication is making me feel philanthropic, independent and harmonious.",positive,Additional Positive Terms
1431,My symptoms are not impolite.,negative,Additional Negative Terms
1432,The pain is not tiring.,negative,Additional Negative Terms
1433,"I've been experiencing alarmed, unlearned and flimsy in my recovery.",negative,Additional Negative Terms
1434,"My health is not nimble, restorative and genial.",positive,Additional Positive Terms
1435,"Since the treatment, I've been consequences.",negative,Side Effects
1436,I have inflexible in my healthcare team.,negative,Additional Negative Terms
1437,"The pain is soothing, thriving and unified.",positive,Additional Positive Terms
1438,"My symptoms are not severe, consequences and prohibited.",negative,Additional Negative Terms
1439,"The communication with the clinic has been excited, positive and remarkable.",positive,Additional Positive Terms
1440,The latest tests show my condition is enduring.,positive,Physical Improvement
1441,"I do not feel faint, tired and contrary.",negative,Physical Symptoms
1442,The treatment plan seems to be committed.,positive,Hope for Future
1443,I feel savage and thoughtless when discussing my health with the doctor.,negative,Additional Negative Terms
1444,The pain is accomplishing.,positive,Additional Positive Terms
1445,The treatment plan is not flexible.,positive,Additional Positive Terms
1446,"The path to recovery feels unlearned, wanting and prohibited.",negative,Additional Negative Terms
1447,The medication is making me feel superior.,positive,Additional Positive Terms
1448,My mood has been sapient since starting the new regimen.,positive,Additional Positive Terms
1449,I'm experiencing mitigating and self-sufficient levels of discomfort.,positive,Additional Positive Terms
1450,I do not feel expert.,positive,Independence
1451,I'm furthering about my condition.,positive,Gratitude Toward Healthcare
1452,The latest tests show my condition is stable and approachable.,positive,Additional Positive Terms
1453,I am not seeing incensed and exasperated signs of progress.,negative,Frustration
1454,"I've been dealing with a weak, side-effects and evolved feeling in my joints.",negative,Side Effects
1455,"I'm erudite, appreciated and excited with how the treatment is going.",positive,Clarity
1456,I'm experiencing collaborative and rejuvenating levels of discomfort.,positive,Additional Positive Terms
1457,I'm experiencing unbending levels of discomfort.,negative,Additional Negative Terms
1458,"I was hoping to feel cooperative, but instead, I feel stable.",positive,Additional Positive Terms
1459,I feel responsive about the information I received.,positive,Additional Positive Terms
1460,I found the doctor's explanation very understood.,positive,Trust in Healthcare
1461,"I am not flourishing, collaborative and significant with the treatment.",positive,Additional Positive Terms
1462,The side effects are not confident and pliable.,positive,Trust in Healthcare
1463,"I'm looking forward to a immobilized, aggravated and insufficient future.",negative,Depression and Hopelessness
1464,I've been experiencing following and relaxed due to side effects.,positive,Comfort
1465,"I'm trying to stay consistent, hospitable and hospitable despite the challenges.",positive,Additional Positive Terms
1466,I am not seeing dire signs of progress.,negative,Additional Negative Terms
1467,"My general disposition has been aloof, enraged and nauseous.",negative,Additional Negative Terms
1468,I'm hopeful the pain will become metastasized and detrimental soon.,negative,Worsening Condition
1469,I am not seeing encouraged and withstandable signs of progress.,positive,Treatment Response
1470,"I've been dealing with a remote, aloof and scarce feeling in my joints.",negative,Additional Negative Terms
1471,The medication is not making me feel insubstantial.,negative,Additional Negative Terms
1472,"Although the treatment is hopeful, I still feel hopeful.",positive,Hope for Future
1473,I'm noticing durable changes in my daily life.,positive,Physical Improvement
1474,The improvements are rarely brutal.,negative,Additional Negative Terms
1475,I'm concerned about the intolerant and despondent impact of the therapy.,negative,Depression and Hopelessness
1476,The side effects are outcomes and unaffordable.,negative,Side Effects
1477,The latest tests show my condition is cared and educated.,positive,Trust in Healthcare
1478,"Since the treatment, I've been puzzled and inadmissible.",negative,Additional Negative Terms
1479,I'm concerned about the vicious and lethargic impact of the therapy.,negative,Additional Negative Terms
1480,My symptoms are not terrible.,negative,Additional Negative Terms
1481,"Although the treatment is withstandable, I still feel apprehended.",positive,Clarity
1482,I'm diligent about my condition.,positive,Cooperation
1483,"I'm feeling quite positive, adaptive and dedicated about my prognosis.",positive,Additional Positive Terms
1484,"The doctor said my condition is unfavorable, unwilling and disregarded.",negative,Additional Negative Terms
1485,I'm untrusting about my condition.,negative,Mistrust
1486,"I feel willing, complete and receptive when discussing my health with the doctor.",positive,Additional Positive Terms
1487,"The improvements are rarely petrified, unwell and unresponsive.",negative,Additional Negative Terms
1488,My recovery has been acknowledged and renewing so far.,positive,Trust in Healthcare
1489,"I have expectant, competent and welcomed in my healthcare team.",positive,Clarity
1490,"I felt evolved, stinging and disheartened during my last consultation.",negative,Depression and Hopelessness
1491,"Although the treatment is despondent, I still feel despondent.",negative,Additional Negative Terms
1492,The dosage adjustment has been realizing and succeeding.,positive,Additional Positive Terms
1493,"I've been experiencing shut, obscure and furious in my recovery.",negative,Additional Negative Terms
1494,My day has been insensitive.,negative,Additional Negative Terms
1495,I found the doctor's explanation very nourishing and mindful.,positive,Additional Positive Terms
1496,"Although the treatment is relief, I still feel mindful.",positive,Additional Positive Terms
1497,I am not seeing relieved signs of progress.,positive,Relief and Recovery
1498,I feel outlandish and deteriorating about the information I received.,negative,Additional Negative Terms
1499,"The side effects are inspired, tough and accomplishing.",positive,Additional Positive Terms
1500,"I've been experiencing breakable, draining and melancholy due to side effects.",negative,Additional Negative Terms
1501,I feel troubled regarding my care.,negative,Emotional Distress
1502,"I'm concerned about the prepared, ordinary and peaceful impact of the therapy.",positive,Additional Positive Terms
